Toyota,Япония,1937,"Тоёда, Киитиро"
Ford,Америка,1903,Генри Форд
Chevrolet,Америка,1911,"Луи Шевроле, Уильям Дюрант"
Nissan,Япония,1933,Масудзиро Хасимото
Hyundai,Корея,1967,Чон Чжу-ён
KIA,Корея,1957,Чан Чжу Юн
Mercedes-Benz,Германия,1926,Карл Бенц
BMW,Германия,1916,Карл Фридрих Рапп
Opel,Германия,1862,Адам Опель
Mazda,Япония,1920,Дзудзиро Мацуда
Acura,Япония,1986,"М. Аккавитти, Э. Беркмэн"
Volkswagen,Германия,1937,"Фердинанд Порше, Якоб Верлин"
Citroen,Франция,1919,Андре Гюстав Ситроен
Volvo,Швеция,1927,"Ассар Габриелссон, Густаф Ларсон"
Skoda,Чехия,1895,Эмиль Шкода
Land Rover,Великобритания,1948,"Сайрус Мистри, Ральф Спет"
Renault,Франция,1899,"Фернан, Луи, Марсель Рено"
Honda,Япония,1948,Соичиро Хонда
Datsun,Япония,1911,"Карлос Гон, Винсент Кобе"
Mitsubishi,Япония,1870,Ивасаки Ятаро
Audi,Германия,1909,Аугуст Хорьх
Jeep,США,1941,"Серджио Маркионне, Майкл Мэнли"
LADA,Россия,1966,ЦК КПСС
УАЗ,Россия,1992,Сергей Мусихин
Peugeot,Франция,1882,Арман Пежо
Daewoo,Корея,1967,Ким Ву Чун
SsangYong,Корея,1954,Hyung-Tak Choi
Lexus,Япония,1989,Эйдзи Тойода
Subaru,Япония,1954,Кэндзи Кита
Suzuki,Япония,1909,Митио Судзуки
Infiniti,Япония,1989,Билл Брюс
Fiat,Италия,1899,Джованни Аньелли
Chery,Китай,1997,Инь Тунъяо
Lifan,Китай,1992,Инь Миншань
Geely,Китай,1986,Ли Шуфу
Great Wall,Китай,1976,Ван Фэнин
Jaguar,Великобритания,1922,"Уильям Лайонс, Уильям Уолмсли"
Lamborghini,Италия,1963,Ферруччо Ламборгини
Cola,Сирия,1909,Fabiola Barone
Oorlog,Норвегия,1933,Lanny Bryant
Omgekomen,Сент-Винсент и Гренадины,2005,Rosemarie Habich
Kilo,Малайзия,1859,Michelle Lehmann
